label	ageclass	gender	species	min	max
Infant	1		ANUBIS BABOON	0	1
Infant	1		Cynomolgus	0	1
Infant	1		Marmoset	0	1
Infant	1		HAMADRYAS BABOON	0	1
Infant	1		JAPANESE MACAQUE	0	1
Infant	1		Rhesus	0	1
Juvenile	2	m	ANUBIS BABOON	1	3
Juvenile	2	m	Cynomolgus	1	3
Juvenile	2	m	Marmoset	1	3
Juvenile	2	m	HAMADRYAS BABOON	1	3
Juvenile	2	m	JAPANESE MACAQUE	1	3
Juvenile	2	m	Rhesus	1	3
Juvenile	2	f	ANUBIS BABOON	1	4
Juvenile	2	f	Cynomolgus	1	4
Juvenile	2	f	Marmoset	1	4
Juvenile	2	f	HAMADRYAS BABOON	1	4
Juvenile	2	f	JAPANESE MACAQUE	1	4
Juvenile	2	f	Rhesus	1	4
Adult	3	m	ANUBIS BABOON	3	18
Adult	3	m	Cynomolgus	3	18
Adult	3	m	Marmoset	3	18
Adult	3	m	HAMADRYAS BABOON	3	18
Adult	3	m	JAPANESE MACAQUE	3	18
Adult	3	m	Rhesus	3	18
Adult	3	f	ANUBIS BABOON	4	18
Adult	3	f	Cynomolgus	4	18
Adult	3	f	Marmoset	4	18
Adult	3	f	HAMADRYAS BABOON	4	18
Adult	3	f	JAPANESE MACAQUE	4	18
Adult	3	f	Rhesus	4	18
Senior	4		ANUBIS BABOON	18	
Senior	4		Cynomolgus	18
Senior	4		Marmoset	18
Senior	4		HAMADRYAS BABOON	18
Senior	4		JAPANESE MACAQUE	18	
Senior	4		Rhesus	18
