label	ageclass	gender	species	min	max
Infant	1		ANUBIS BABOON	0	1
Infant	1		CYNOMOLGUS MACAQUE	0	1
Infant	1		HAMADRYAS BABOON	0	1
Infant	1		JAPANESE MACAQUE	0	1
Infant	1		RHESUS MACAQUE	0	1
Juvenile	2	m	ANUBIS BABOON	1	3
Juvenile	2	m	CYNOMOLGUS MACAQUE	1	3
Juvenile	2	m	HAMADRYAS BABOON	1	3
Juvenile	2	m	JAPANESE MACAQUE	1	3
Juvenile	2	m	RHESUS MACAQUE	1	3
Juvenile	2	f	ANUBIS BABOON	1	4
Juvenile	2	f	CYNOMOLGUS MACAQUE	1	4
Juvenile	2	f	HAMADRYAS BABOON	1	4
Juvenile	2	f	JAPANESE MACAQUE	1	4
Juvenile	2	f	RHESUS MACAQUE	1	4
Adult	3	m	ANUBIS BABOON	3	18
Adult	3	m	CYNOMOLGUS MACAQUE	3	18
Adult	3	m	HAMADRYAS BABOON	3	18
Adult	3	m	JAPANESE MACAQUE	3	18
Adult	3	m	RHESUS MACAQUE	3	18
Adult	3	f	ANUBIS BABOON	4	18
Adult	3	f	CYNOMOLGUS MACAQUE	4	18
Adult	3	f	HAMADRYAS BABOON	4	18
Adult	3	f	JAPANESE MACAQUE	4	18
Adult	3	f	RHESUS MACAQUE	4	18
Senior	4		ANUBIS BABOON	18	
Senior	4		CYNOMOLGUS MACAQUE	18	
Senior	4		HAMADRYAS BABOON	18	
Senior	4		JAPANESE MACAQUE	18	
Senior	4		RHESUS MACAQUE	18	
