reportname	category	reporttype	reporttitle	visible	containerpath	schemaname	queryname	viewname	report	datefieldname	todayonly	queryhaslocation	sort_order	QCStatePublicDataFieldName	description
activeAssignments	Assignments and Groups	query	Active Assignments	true		study	Assignment	Active Assignments		date	false	false			This report shows the active assignments for each animal
assignmentHistory	Assignments and Groups	query	Assignment History	true		study	Assignment			date	false	false			This report shows all assignments records for the animals
activeGroups	Assignments and Groups	query	Active Groups	true		study	animal_group_members	Active Members		date	false	false			This report shows the active assignments for each animal
groupHistory	Assignments and Groups	query	Group History	true		study	animal_group_members			date	false	false			This report shows all assignments records for the animals
microbiology	Lab Results	query	Microbiology	true		study	Microbiology Results			date	false	false
biochemistry	Lab Results	js	Biochemistry	true		study	bloodChemistry			date	false	false			Contains results of chemistry panels.  Can be displayed either by panel, or showing reference ranges
clinPathRuns	Lab Results	query	Lab Runs	true		study	Clinpath Runs			date	false	false			Contains all clinpath requests
iStat	Lab Results	js	iStat	true		study	iStat			date	false	false			Contains iStat results
hematology	Lab Results	js	Hematology	true		study	hematology			date	false	false			Contains hematology data showing cell subsets
parasitology	Lab Results	query	Parasitology	true		study	Parasitology Results			date	false	false			Contains results of parasitology testing
urinalysis	Lab Results	js	Urinalysis	true		study	urinalysisResults			date	false	false			Contains urinalysis results
miscTests	Lab Results	query	Misc Tests	true		study	Misc Tests			date	false	false			This report contains the misc lab results not represented in the other reports
antibioticSensitivity	Lab Results	js	Antibiotic Sensitivity	true		study	antibioticSensitivity			date	false	false			This report contains the results of tests of antibiotic resistance
serology	Lab Results	query	Serology	true		study	Serology Results			date	false	false			This report contains the results of serology tests
clinCases	Clinical	query	Cases	true		study	Cases	Active Clinical Cases		date	false	false			This report contains one record for each case opend for this animal, including surergies, exams, procedures, etc.
snomedTags	Clinical	query	SNOMED Codes	true		ehr	snomed_tags			date	false	false			This report lists all SNOMED codes used in the animal's record
surgery	Surgery	query	Surgeries	true		study	Clinical Encounters	Surgeries		date	false	false			This report contains one record for each encounter with each animal, including surgeries, exams, procedures, etc.
surgery	Surgery	query	Surgeries Today	true		study	Clinical Encounters	Surgeries Today		date	false	false
procedures	Clinical	query	Procedures	true		study	Clinical Encounters	Procedures		date	false	false
procedureHistory	Surgery	query	Procedure Summary	true		study	proceduresPerYear			date	false	false			This report contains one record for each encounter with each animal, including surgeries, exams, procedures, etc.
surgeryChecklist	Surgery	query	Surgery Checklist	true		study	surgeryChecklist			date	false	false			This report provides information intended to be reviewed prior to surgeries.
clinObs	Clinical	query	Observations	true		study	Clinical Observations			date	false	false			This report contains one record for each encounter with each animal, including surergies, exams, procedures, etc.
clinObsBsu	Behavior	query	Behavior Observations	true		study	Clinical Observations	BSU Observations		date	false	false			This report contains one record for each encounter with each animal, including surergies, exams, procedures, etc.
clinremarks	Clinical	query	Clinical Remarks	true		study	Clinical Remarks			date	false	false			This report contains the clinical remarks entered about each animal
behaviorRemarks	Behavior	query	Behavior SOAP	true		study	Clinical Remarks	Behavior Remarks		date	false	false			This report contains the behavior remarks entered about each animal
drug	Behavior	query	Behavior Treatments	true		study	Drug Administration	Behavior Treatments		date	false	false			This report contains the behavior treatments entered about each animal
pairings	Behavior	query	Pairing Events with Comments	true		study	pairingSummary	Pairing Events with Comments		date	false	false			"The pairing events with comments tab contains all EXCEPT
C-sx reunite
Bio dam reunite
Nonlactating foster
Lactating foster"
pairingHousingSummary	Behavior	query	Pairing With Housing	false		study	pairingHousingSummary			date	false	false			This report contains records about pairings made using each animal
roommateHistoryBSU	Behavior	query	Cagemate History	true		study	housingRoommatesDivider	Caged Housing Only		StartDate	false	false			This report displays all animals that shared a cage, including the start date, stop date and days co-housed
pairingHistory	Behavior	js	Pairing History	false		study	pairHistory			date	false	false			This report displays all animals that shared a cage, including the start date, stop date and days co-housed
treatments	Clinical	query	Medication Orders	true		study	Treatment Orders			date	false	false			Contains a list of all orders for treatments
drug	Clinical	query	Medications - All	true		study	drugsUnified			date	false	false			This report contains records of all medications administered to each animal
weight	Colony Management	js	Weights	true		study	onprcweightGraph			date	false	false			This report contains a summary of the animal's weight, including a graph
clinicalHistory	Clinical	js	Clinical History	true		study	onprcClinicalHistory			date	false	false			This report contains an overview of the animal's clinical history
behaviorHistory	Behavior	js	Full History	false		study	onprcClinicalHistory			date	false	false			This report contains an overview of the animal's clinical history
fullClinicalHistory	Pathology	js	Clinical History - Full	true		study	onprcFullClinicalHistory			date	false	false			This report contains an overview of the animal's clinical history
clinMedicationSchedule	Daily Reports	js	Clinical Medication Schedule	true		study	clinMedicationSchedule			date	false	false			This report contains a list of daily treatments to be administered
dietSchedule	Daily Reports	js	Diets	true		study	dietSchedule			date	false	false			This report contains a list of daily treatments to be administered
