code	meaning
D-00010	DISEASE TYPE OR CATEGORY UNKNOWN
D-00020	DISEASE TYPE NOT APPLICABLE
D-00030	DISEASE TYPE NOT ASSIGNED
D-00110	DISEASE CAUSED BY BACTERIA, NOS
D-00800	SEPTICEMIA
D-01110	ACTINOMYCOSIS
D-01130	ANTHRAX
D-01150	BOTULISM
D-01160	BRUCELLOSIS
D-01190	DIPHTHERIA
D-01210	ERYSIPELAS (STREPTOCOCCUS GROUP A, NOS)
D-01220	ERYSIPELOTHRIX INFECTION
D-01350	LEPTOSPIROSIS
D-01370	LISTERIOSIS
D-01400	LIPIDOSIS, NOS
D-01430	WATERHOUSE-FRIDERICHSEN SYNDROME
D-01460	Mycobacterium infection (excluding tuberculosis and leprosy)/Mycobacteriosis, NOS
D-01510	Infection due to Mycobacterium avium/Avian tuberculosis
D-01520	NECROBACILLOSIS
D-01530	NOCARDIOSIS
D-01550	PARATYPHOID FEVER, NOS
D-01590	PASTEURELLOSIS,
D-01650	PNEUMOCOCCAL MENINGITIS
D-01660	PSEUDOTUBERCULOSIS
D-01740	SALMONELLOSIS
D-01760	SHIGELLOSIS
D-01780	STAPHYLOCOCCAL INFECTION
D-01781	STAPHYLOCOCAL SEPTICEMIA
D-01782	STAPHYLOCOCCAL SEPTICEMIA
D-01810	STREPTOCOCCAL INFECTIOUS DISEASE, NOS
D-01812	STREPTOCOCCAL SEPTICEMIA
D-01813	STREPTOCOCCAL PNEUMONIA
D-01816	STREPTOCOCCAL MENINGITIS
D-01817	STREPTOCOCCAL ARTHRITIS
D-01820	SYPHILLIS
D-01830	TETANUS
D-01880	TUBERCULOSIS, NOS
D-01890	TULAREMIA
D-01892	TULAREMIA, ENTERIC
D-01894	TULEREMIA, DISSEMINATED
D-01930	VIBRIOSIS
D-0194X	Gingivitis, NOS
D-01970	SPIROCHETOSIS (WEILS DISEASE)
D-02020	BOTRYOMYCOSIS
D-02400	MYCOPLASMOSIS, NOS
D-03240	ORNITHOSIS
D-03260	Q FEVER
D-03500	DISEASE CAUSED BY VIRUS, NOS
D-03501	VIREMIA, NOS
D-03550	ALEUTIAN DISEASE
D-03720	Chikungunya Virus Infection
D-03780	CYTOMEGALIC INCLUSION DISEASE
D-03790	Disease caused by Macacine herpesvirus 1 (Cercopithecine herpesvirus 1, Herpesvirus simiae, B-virus)
D-03950	FOOT AND MOUTH DISEASE
D-04110	INFLUENZA
D-04250	LYMPHOCYTIC CHORIOMENINGITIS
D-04300	MEASLES, NOS
D-04380	NEWCASTLE DISEASE
D-04550	PSEUDOCOWPOX
D-04590	RABIES
D-05060	Yellow Fever
D-05210	Hepatitis A
D-05500	MYCOSIS, NOS
D-05520	ASPERGILLOSIS
D-05530	BLASTOMYCOSIS
D-05570	CANDIDIASIS
D-05600	COCCIDIOIDOMYCOSIS
D-05610	CRYPTOCOCCOSIS
D-05670	MUCORMYCOSIS
D-05730	SPOROTRICHOSIS
D-05750	RINGWORM, NOS
D-05900	HISTOPLASMOSIS
D-06040	CESTODE INFECTION
D-06500	PARASITE INFESTATION, NOS
D-06510	AMEBIASIS
D-06550	ASCARIASIS
D-06570	PIROPLASMOSIS (BABESIASIS)
D-06580	BALANTIDIASIS
D-06610	CAPILLARIASIS
D-06640	CESTODE INFECTION
D-06670	COCCIDIOSIS
D-06700	CYSTICERCOSIS
D-06830	ECHINOCOCCOSIS, NOS
D-06920	FASCIOLIASIS
D-06960	FILARIASIS, NOS
D-07030	GIARDIASIS
D-07200	MALARIA, NOS
D-07260	MYIASIS, NOS
D-07340	PEDICULOSIS
D-07400	SARCOSPORIDIOSIS
D-07410	SCABIES
D-07500	STRONGYLOIDIASIS
D-07560	TOXOCARIASIS, LARVA MIGRANS
D-07570	TOXOPLASMOSIS
D-07590	TRICHINIASIS
D-07600	TRICHOMONIASIS
D-07620	TRICHURIASIS
D-07630	TRYPANOSOMIASIS, NOS
D-07640	TRYPANOSOMIASIS, AMERICAN
D-07700	LEISHMANIASIS
D-10000	METABOLIC DISEASE, NOS
D-10020	FAILURE TO THRIVE SYNDROME
D-10050	Storage Disease
D-10100	NUTRITIONAL DISEASE, NOS
D-10110	STARVATION
D-10130	DEFICIENCY DISEASE, PROTEIN
D-10140	MALNUTRITION SYNDROME
D-10160	UNDERNUTRITION
D-10240	EMACIATION (CACHEXIA), NOS
D-11000	KETOACIDOSIS, NOS
D-11500	DISEASE OF SIMPLE COMPOUND
D-11720	DEHYDRATION
D-11820	DEFICIENCY DISEASE, CALCIUM
D-11870	DEFICIENCY DISEASE, MAGNESIUM
D-11920	HEMOCHROMATOSIS
D-12010	GOUT
D-13500	DISEASE OF LIPID METABOLISM, NOS
D-14010	XANTHOMATOSIS
D-18050	DEFICIENCY DISEASE, VITAMIN A
D-18100	DEFICIENCY DISEASE, VITAMIN B COMPLEX
D-18150	DEFICIENCY DISEASE, RIBOFLAVIN
D-18300	DEFICIENCY DISEASE, VITAMIN C
D-18400	RICKETS
D-18420	HYPERVITAMINOSIS D
D-18500	DEFICIENCY DISEASE, VITAMIN E
D-18600	DEFICIENCY DISEASE, VITAMIN K
D-1A303	ENCEPHALOMALACIA, NOS
D-20000	ENDOCRINE SYSTEM DISEASE, NOS
D-20220	HERMAPHRODITISM SYNDROME, NOS
D-20240	PSEUDOHERMAPHRODITISM SYNDROME, NOS
D-21010	DIABETES INSIPIDUS
D-21310	HYPOPITURITARISM, NOS
D-22000	HYPOTHYROIDISM
D-23020	CUSHINGS DISEASE (HYPERADRENOCORTICISM)
D-23810	DIABETES MELLITUS, NOS
D-23870	DIABETES MELLITUS, JUVENILE
D-24500	DISEASE OF FEMALE PELVIC ORGANS, NOS
D-24600	DISEASE OR SYNDROME OF UTERUS, NOS
D-24700	DISEASE OR SYNDROME OF VAGINA OR VULVA, NOS
D-24800	Uterine Infarction
D-25010	TOXEMIA OF PREGNANCY
D-25100	OBSTETRIC SHOCK SYNDROME
D-25110	Placenta Abruptio
D-25130	DEAD FETUS SYNDROME
D-25180	LOW BIRTH WEIGHT SYNDROME
D-26180	PSEUDOHERMAPHRODITISM, FEMALE
D-28801	GOITER, COLLOID (SIMPLE, NONTOXIC)
D-2B800	GOITER, CALLOID (SIMPLE, NONTOXIC)
D-30000	DISEASE OR SYNDROME OF SKELETAL SYSTEM
D-30500	ARTHRITIS, (DISEASE OF JOINT)
D-30600	INFLAMMATORY ARTHROPATHY, NOS
D-30710	RHEUMATOID ARTHRITIS, NOS
D-30900	ARTHRITIS, BACTERIAL (INFECTIOUS ARTHROPATHY)
D-31310	ACUTE TRAUMATIC ARTHROPATHY
D-31500	DEGENERATIVE ARTHROPATHY
D-31510	OSTEOARTHRITIS, DEGENERATIVE
D-31551	OSTEOARTHRITIS, SECONDARY, KNEE JOINT
D-31555	ARTHROPATHY ASSOCIATED WITH BACTERIAL DISEASE
D-32000	Spondyloarthropathy
D-32011	SPONDYLOARTHRITIS, CERVICAL
D-32014	SPONDYLOARTHRITIS, THORACIC
D-32020	ANKYLOSING SPONDYLITIS, NOS
D-32140	INTERVERTEBRAL DISK SYNDROME
D-321C0	GI Adenocarcinoma
D-32210	ANKYLOSING VERTEBRAL HYPEROSTOSIS
D-34000	DISEASE OF BONE, NOS
D-35000	DISEASE OR SYNDROME OF SKIN, NOS
D-35640	DIFFUSE MASTOCYTOSIS
D-36120	PEMPHIGUS FOLIACEUS
D-38670	LUPUS ERYTHEMATOSUS, NOS
D-38720	SYSTEMIC LUPUS ERYTHEMATOSIS (SLE)
D-38760	SCLERODERMA
D-38820	NODULAR PANNICULITIS
D-38840	RETROPERITONEAL FIBROMATOSIS
D-38900	AMYLOIDOSIS, NOS
D-38912	AMYLOIDOSIS, SECONDARY, SYSTEMIC
D-38913	AMYLOIDOSIS, LOCALIZED, NOS
D-3C412	LEUKOPENIA, NOS
D-3C722	ANGIOLYMPHOID HYPERPLASIA
D-40100	ANEMIA, NOS
D-40120	ANEMIA DUE TO ACUTE BLOOD LOSS
D-40130	ANEMIA DUE TO CHRONIC BLOOD LOSS
D-40131	ANEMIA, NORMOCYTIC-NORMOCHROMIC
D-40132	ANEMIA, NORMOCYTIC-HYPOCHROMIC
D-40150	ANEMIA, MICROCYTIC-HYPOCHROMIC
D-40151	ANEMIC, MICROCYTIC-NORMOCHROMIC
D-40160	MACROCYTIC ANEMIA
D-40161	ANEMIA, MACROCYTIC-NORMOCHROMIC
D-40162	ANEMIA, MACROCYTIC-HYPOCHROMIC
D-40310	ANEMIA, APLASTIC
D-40720	IRON DEFICIENCY ANEMIA
D-40790	ANEMIA, NONSPECIFIC (REFRACTORY)
D-42500	HEMOLYTIC ANEMIA, NOS
D-43000	METHEMOGLOBINEMIA, NOS
D-44000	BLOOD COAGULATION DISORDER, DISEASE OR SYNDROME, NOS
D-44110	DISSEMINATED INTRAVASCULAR COAGULATION (DIC)
D-46000	IMMUNE DEFICIENCY DISORDER, DISEASE OR SYNDROME, NOS
D-46001	ACQUIRED IMMUNODEFICIENCY SYNDROME, SIMIAN
D-46150	HYPOPLASIA, HEMATOPOIETIC
D-46800	ERYTHROBLASTOSIS FETALIS
D-47970	ALLERGIC RHINITIS
D-47990	CHRONIC RHINITIS
D-48100	ANAPHYLAXIS, NOS
D-4D600	COMPLICATION OF SURGICAL PROCEDURE
D-4D601	COMPLICATION OF IMPLANT, NOS
D-4D603	COMPLICATION OF CATHETER
D-4D660	INFECTION OR INFLAMMATORY REACTION DUE TO INT DEVICE
D-4D664	HEMORRHAGE DUE TO ANY DEVISE, IMPLANT OR GRAFT
D-60000	DISEASE OR SYNDROME OF DIGESTIVE SYSTEM, NOS
D-60310	DISEASE OF TEETH. NOS
D-60400	PERIODONTAL DISEASE, NOS
D-61600	DISEASE OF STOMACH, NOS
D-62000	ENTEROPATHY
D-62010	ILEUS, NOS
D-62040	IDIOPATHIC ENTEROPATHY SYNDROME
D-62140	INFLAMMATORY BOWEL DISEASE, NOS
D-62160	REGIONAL ENTEROCOLITIS
D-62170	MALABSORPTION SYNDROME, NOS
D-62510	DIVERTICULAR DISEASE OF THE COLON
D-62570	CHRONIC ULCERATIVE COLITIS
D-63310	DISEASE OF LIVER, NOS
D-65000	DISEASE OR SYNDROME OF URINARY TRACT, NOS
D-65035	HYDRONEPHROSIS, ACQUIRED
D-65050	END STAGE RENAL DISEASE, NOS
D-65100	RENAL FAILURE SYNDROME, NOS
D-65150	UREMIA SYNDROME
D-65160	PRERENAL UREMIA SYNDROME
D-67010	NEPHRITIC SYNDROME, NOS
D-67040	ACUTE GLOMERULONEPHRITIS, NOS
