code	primaryCategory	secondaryCategory
D-01830	Drugs and Procedures	
E-07237	Drugs and Procedures	
E-07789	Drugs and Procedures	
E-08245	Drugs and Procedures	
E-50150	Drugs and Procedures	
E-51470	Drugs and Procedures	
E-52210	Drugs and Procedures	
E-54030	Drugs and Procedures	
E-55120	Drugs and Procedures	
E-68760	Drugs and Procedures	
E-70000	Drugs and Procedures	
E-70171	Drugs and Procedures	
E-70450	Drugs and Procedures	
E-70550	Drugs and Procedures	
E-70590	Drugs and Procedures	
E-70630	Drugs and Procedures	
E-70720	Drugs and Procedures	
E-70930	Drugs and Procedures	
E-71190	Drugs and Procedures	
E-71410	Drugs and Procedures	
E-71412	Drugs and Procedures	
E-71620	Drugs and Procedures	
E-71875	Drugs and Procedures	
E-71880	Drugs and Procedures	
E-71900	Drugs and Procedures	
E-719Y1	Drugs and Procedures	
E-719Y2	Drugs and Procedures	
E-719Y4	Drugs and Procedures	
E-72080	Drugs and Procedures	
E-72120	Drugs and Procedures	
E-72160	Drugs and Procedures	
E-72170	Drugs and Procedures	
E-72191	Drugs and Procedures	
E-721X0	Drugs and Procedures	
E-72220	Drugs and Procedures	
E-72330	Drugs and Procedures	
E-72350	Drugs and Procedures	
E-72351	Drugs and Procedures	
E-72360	Drugs and Procedures	
E-72365	Drugs and Procedures	
E-72603	Drugs and Procedures	
E-72660	Drugs and Procedures	
E-72880	Drugs and Procedures	
E-72970	Drugs and Procedures	
E-73010	Drugs and Procedures	
E-73220	Drugs and Procedures	
E-73290	Drugs and Procedures	
E-73740	Drugs and Procedures	
E-73741	Drugs and Procedures	
E-73820	Drugs and Procedures	
E-73861	Drugs and Procedures	
E-74025	Drugs and Procedures	
E-7412X	Drugs and Procedures	
E-74270	Drugs and Procedures	
E-74290	Drugs and Procedures	
E-74650	Drugs and Procedures	
E-74680	Drugs and Procedures	
E-75105	Drugs and Procedures	
E-75170	Drugs and Procedures	
E-75220	Drugs and Procedures	
E-75470	Drugs and Procedures	
E-75530	Drugs and Procedures	
E-75531	Drugs and Procedures	
E-76010	Drugs and Procedures	
E-76590	Drugs and Procedures	
E-76830	Drugs and Procedures	
E-77510	Drugs and Procedures	
E-77670	Drugs and Procedures	
E-77710	Drugs and Procedures	
E-77720	Drugs and Procedures	
E-77760	Drugs and Procedures	
E-77851	Drugs and Procedures	
E-778X0	Drugs and Procedures	
E-77900	Drugs and Procedures	
E-779X0	Drugs and Procedures	
E-78120	Drugs and Procedures	
E-79030	Drugs and Procedures	
E-79140	Drugs and Procedures	
E-79195	Drugs and Procedures	
E-792X1	Drugs and Procedures	
E-79450	Drugs and Procedures	
E-79491	Drugs and Procedures	
E-79520	Drugs and Procedures	
E-79710	Drugs and Procedures	
E-79930	Drugs and Procedures	
E-80140	Drugs and Procedures	
E-80410	Drugs and Procedures	
E-80620	Drugs and Procedures	
E-80625	Drugs and Procedures	
E-81020	Drugs and Procedures	
E-81040	Drugs and Procedures	
E-81300	Drugs and Procedures	
E-81310	Drugs and Procedures	
E-81540	Drugs and Procedures	
E-81710	Drugs and Procedures	
E-82010	Drugs and Procedures	
E-82020	Drugs and Procedures	
E-82030	Drugs and Procedures	
E-8208X	Drugs and Procedures	
E-82090	Drugs and Procedures	
E-82130	Drugs and Procedures	
E-82270	Drugs and Procedures	
E-82340	Drugs and Procedures	
E-82500	Drugs and Procedures	
E-82531	Drugs and Procedures	
E-83120	Drugs and Procedures	
E-83870	Drugs and Procedures	
E-84320	Drugs and Procedures	
E-84840	Drugs and Procedures	
E-85090	Drugs and Procedures	
E-85130	Drugs and Procedures	
E-85151	Drugs and Procedures	
E-85182	Drugs and Procedures	
E-85260	Drugs and Procedures	
E-85350	Drugs and Procedures	
E-85360	Drugs and Procedures	
E-85365	Drugs and Procedures	
E-85405	Drugs and Procedures	
E-85460	Drugs and Procedures	
E-85485	Drugs and Procedures	
E-85490	Drugs and Procedures	
E-85550	Drugs and Procedures	
E-85560	Drugs and Procedures	
E-85780	Drugs and Procedures	
E-8578X	Drugs and Procedures	
E-85824	Drugs and Procedures	
E-85825	Drugs and Procedures	
E-85930	Drugs and Procedures	
E-86031	Drugs and Procedures	
E-86032	Drugs and Procedures	
E-86040	Drugs and Procedures	
E-86046	Drugs and Procedures	
E-86048	Drugs and Procedures	
E-86049	Drugs and Procedures	
E-86050	Drugs and Procedures	
E-86051	Drugs and Procedures	
E-86052	Drugs and Procedures	
E-86053	Drugs and Procedures	
E-86060	Drugs and Procedures	
E-86061	Drugs and Procedures	
E-86066	Drugs and Procedures	
E-86067	Drugs and Procedures	
E-86074	Drugs and Procedures	
E-86075	Drugs and Procedures	
E-86090	Drugs and Procedures	
E-86140	Drugs and Procedures	
E-86230	Drugs and Procedures	
E-86260	Drugs and Procedures	
E-867X0	Drugs and Procedures	
E-87230	Drugs and Procedures	
E-87250	Drugs and Procedures	
E-87251	Drugs and Procedures	
E-87270	Drugs and Procedures	
E-87350	Drugs and Procedures	
E-87530	Drugs and Procedures	
E-87600	Drugs and Procedures	
E-87601	Drugs and Procedures	
E-87700	Drugs and Procedures	
E-87725	Drugs and Procedures	
E-87750	Drugs and Procedures	
E-88111	Drugs and Procedures	
E-88370	Drugs and Procedures	
E-88450	Drugs and Procedures	
E-89160	Drugs and Procedures	
E-89240	Drugs and Procedures	
E-90100	Drugs and Procedures	
E-90590	Drugs and Procedures	
E-95823	Drugs and Procedures	
E-C249X	Drugs and Procedures	
E-X0050	Drugs and Procedures	
E-X0100	Drugs and Procedures	
E-X0310	Drugs and Procedures	
E-X0405	Drugs and Procedures	
E-X0408	Drugs and Procedures	
E-X0430	Drugs and Procedures	
E-X0435	Drugs and Procedures	
E-X0450	Drugs and Procedures	
E-X0500	Drugs and Procedures	
E-X1200	Drugs and Procedures	
E-X1460	Drugs and Procedures	
E-Y1384	Drugs and Procedures	
E-Y1385	Drugs and Procedures	
E-Y4100	Drugs and Procedures	
E-Y4120	Drugs and Procedures	
E-Y4210	Drugs and Procedures	
E-Y4230	Drugs and Procedures	
E-Y4310	Drugs and Procedures	
E-Y4330	Drugs and Procedures	
E-Y7410	Drugs and Procedures	
E-Y7440	Drugs and Procedures	
E-Y7884	Drugs and Procedures	
E-Y7910	Drugs and Procedures	
E-Y7920	Drugs and Procedures	
E-Y7935	Drugs and Procedures	
E-Y7937	Drugs and Procedures	
E-Y7940	Drugs and Procedures	
E-Y7950	Drugs and Procedures	
E-Y7976	Drugs and Procedures	
E-Y7978	Drugs and Procedures	
E-Y7979	Drugs and Procedures	
E-Y8800	Drugs and Procedures	
E-Y8809	Drugs and Procedures	
E-Y9611	Drugs and Procedures	
E-Y9612	Drugs and Procedures	
E-Y9613	Drugs and Procedures	
E-Y9614	Drugs and Procedures	
E-YX001	Drugs and Procedures	
E-YX002	Drugs and Procedures	
E-YX009	Drugs and Procedures	
E-YY002	Drugs and Procedures	
E-YY003	Drugs and Procedures	
E-YY004	Drugs and Procedures	
E-YY005	Drugs and Procedures	
E-YY020	Drugs and Procedures	
E-YY045	Drugs and Procedures	
E-YY120	Drugs and Procedures	
E-YY165	Drugs and Procedures	
E-YY200	Drugs and Procedures	
E-YY210	Drugs and Procedures	
E-YY211	Drugs and Procedures	
E-YY212	Drugs and Procedures	
E-YY213	Drugs and Procedures	
E-YY220	Drugs and Procedures	
E-YY250	Drugs and Procedures	
E-YY270	Drugs and Procedures	
E-YY280	Drugs and Procedures	
E-YY295	Drugs and Procedures	
E-YY387	Drugs and Procedures	
E-YY450	Drugs and Procedures	
E-YY513	Drugs and Procedures	
E-YY514	Drugs and Procedures	
E-YY530	Drugs and Procedures	
E-YY545	Drugs and Procedures	
E-YY560	Drugs and Procedures	
E-YY567	Drugs and Procedures	
E-YY610	Drugs and Procedures	
E-YY675	Drugs and Procedures	
E-YY727	Drugs and Procedures	
E-YY734	Drugs and Procedures	
E-YY735	Drugs and Procedures	
E-YY740	Drugs and Procedures	
E-YY745	Drugs and Procedures	
E-YY761	Drugs and Procedures	
E-YY765	Drugs and Procedures	
E-YY784	Drugs and Procedures	
E-YY785	Drugs and Procedures	
E-YY786	Drugs and Procedures	
E-YY790	Drugs and Procedures	
E-YY791	Drugs and Procedures	
E-YY796	Drugs and Procedures	
E-YY797	Drugs and Procedures	
E-YY843	Drugs and Procedures	
E-YY845	Drugs and Procedures	
E-YY858	Drugs and Procedures	
E-YY867	Drugs and Procedures	
E-YY868	Drugs and Procedures	
E-YY871	Drugs and Procedures	
E-YY887	Drugs and Procedures	
E-YY905	Drugs and Procedures	
E-YY922	Drugs and Procedures	
E-YY943	Drugs and Procedures	
E-YY949	Drugs and Procedures	
E-YY953	Drugs and Procedures	
E-YY954	Drugs and Procedures	
E-YY955	Drugs and Procedures	
E-YY963	Drugs and Procedures	
E-YY964	Drugs and Procedures	
E-YY965	Drugs and Procedures	
E-YY972	Drugs and Procedures	
E-YY987	Drugs and Procedures	
E-YY990	Drugs and Procedures	
E-YY991	Drugs and Procedures	
E-YY992	Drugs and Procedures	
E-YY996	Drugs and Procedures	
E-YY997	Drugs and Procedures	
E-YY998	Drugs and Procedures	
E-YY999	Drugs and Procedures	
E-YYY40	Drugs and Procedures	
E-YYY60	Drugs and Procedures	
E-YYY70	Drugs and Procedures	
E-YYY80	Drugs and Procedures	
E-YYY88	Drugs and Procedures	
P-12300	Drugs and Procedures	
P-Y1240	Drugs and Procedures	
P-Y3140	Drugs and Procedures	
P-Y3150	Drugs and Procedures	
E-07255	Drugs and Procedures	
E-08209	Drugs and Procedures	
E-08811	Drugs and Procedures	
E-0X042	Drugs and Procedures	
E-10080	Drugs and Procedures	
E-18700	Drugs and Procedures	
E-18770	Drugs and Procedures	
E-25480	Drugs and Procedures	
E-32221	Drugs and Procedures	
E-42000	Drugs and Procedures	
E-51310	Drugs and Procedures	
E-56060	Drugs and Procedures	
E-70310	Drugs and Procedures	
E-70315	Drugs and Procedures	
E-70460	Drugs and Procedures	
E-71160	Drugs and Procedures	
E-71440	Drugs and Procedures	
E-71660	Drugs and Procedures	
E-71670	Drugs and Procedures	
E-71700	Drugs and Procedures	
E-71760	Drugs and Procedures	
E-71870	Drugs and Procedures	
E-71960	Drugs and Procedures	
E-71991	Drugs and Procedures	
E-719Y3	Drugs and Procedures	
E-719Y5	Drugs and Procedures	
E-72000	Drugs and Procedures	
E-72040	Drugs and Procedures	
E-72045	Drugs and Procedures	
E-7204X	Drugs and Procedures	
E-72090	Drugs and Procedures	
E-72162	Drugs and Procedures	
E-72190	Drugs and Procedures	
E-72400	Drugs and Procedures	
E-7245X	Drugs and Procedures	
E-72500	Drugs and Procedures	
E-72502	Drugs and Procedures	
E-72520	Drugs and Procedures	
E-72600	Drugs and Procedures	
E-72601	Drugs and Procedures	
E-72670	Drugs and Procedures	
E-72681	Drugs and Procedures	
E-72682	Drugs and Procedures	
E-72720	Drugs and Procedures	
E-73560	Drugs and Procedures	
E-7359X	Drugs and Procedures	
E-74020	Drugs and Procedures	
E-74180	Drugs and Procedures	
E-74280	Drugs and Procedures	
E-74610	Drugs and Procedures	
E-746Y0	Drugs and Procedures	
E-746Y1	Drugs and Procedures	
E-74710	Drugs and Procedures	
E-74910	Drugs and Procedures	
E-75130	Drugs and Procedures	
E-75310	Drugs and Procedures	
E-75472	Drugs and Procedures	
E-75970	Drugs and Procedures	
E-76030	Drugs and Procedures	
E-76570	Drugs and Procedures	
E-76860	Drugs and Procedures	
E-77180	Drugs and Procedures	
E-77310	Drugs and Procedures	
E-77420	Drugs and Procedures	
E-77631	Drugs and Procedures	
E-77950	Drugs and Procedures	
E-77980	Drugs and Procedures	
E-78010	Drugs and Procedures	
E-78630	Drugs and Procedures	
E-78840	Drugs and Procedures	
E-78860	Drugs and Procedures	
E-79110	Drugs and Procedures	
E-79190	Drugs and Procedures	
E-79870	Drugs and Procedures	
E-7A008	Drugs and Procedures	
E-7A010	Drugs and Procedures	
E-80320	Drugs and Procedures	
E-80401	Drugs and Procedures	
